iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,30-Apr-24,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"45,450,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
TJX,TJX INC,Consumer Discretionary,Equity,"28,896,638.53",0.22,"28,896,638.53","307,117.00",94.09,United States,New York Stock Exchange Inc.,USD,1,USD,-
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"28,756,535.28",0.22,"28,756,535.28","194,986.00",147.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
MDT,MEDTRONIC PLC,Health Care,Equity,"28,663,734.00",0.22,"28,663,734.00","357,225.00",80.24,United States,New York Stock Exchange Inc.,USD,1,USD,-
MS,MORGAN STANLEY,Financials,Equity,"28,622,866.44",0.22,"28,622,866.44","315,091.00",90.84,United States,New York Stock Exchange Inc.,USD,1,USD,-
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"28,257,990.34",0.22,"28,257,990.34","393,182.00",71.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
CI,CIGNA,Health Care,Equity,"27,663,459.20",0.21,"27,663,459.20","77,480.00",357.04,United States,New York Stock Exchange Inc.,USD,1,USD,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"27,215,448.04",0.21,"27,215,448.04","69,284.00",392.81,United States,NASDAQ,USD,1,USD,-
DE,DEERE,Industrials,Equity,"27,169,333.74",0.21,"27,169,333.74","69,414.00",391.41,United States,New York Stock Exchange Inc.,USD,1,USD,-
CB,CHUBB LTD,Financials,Equity,"27,143,531.52",0.21,"27,143,531.52","109,168.00",248.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"27,024,521.18",0.21,"27,024,521.18","58,126.00",464.93,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"26,994,198.33",0.21,"26,994,198.33","111,597.00",241.89,United States,NASDAQ,USD,1,USD,-
ADI,ANALOG DEVICES INC,Information Technology,Equity,"26,865,089.37",0.21,"26,865,089.37","133,917.00",200.61,United States,NASDAQ,USD,1,USD,-
MMC,MARSH & MCLENNAN INC,Financials,Equity,"26,647,038.88",0.2,"26,647,038.88","133,616.00",199.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"26,494,348.45",0.2,"26,494,348.45","299,405.00",88.49,United States,NASDAQ,USD,1,USD,-
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"26,304,717.12",0.2,"26,304,717.12","365,648.00",71.94,United States,NASDAQ,USD,1,USD,-
BA,BOEING,Industrials,Equity,"25,570,088.32",0.2,"25,570,088.32","152,348.00",167.84,United States,New York Stock Exchange Inc.,USD,1,USD,-
